	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.017***	-0.034***		0.006***	0.002***
			(0.001)	(0.002)		(0.002)	(0.000)
p_muj			0.002***	0.028***		-0.020***	0.006***
			(0.001)	(0.002)		(0.002)	(0.000)
niños_hog			-0.042***	-0.000***		0.001	0.025***
			(0.004)	(0.000)		(0.001)	(0.001)
educ_hog			-0.050***	0.095***		0.032***	-0.011***
			(0.001)	(0.003)		(0.002)	(0.000)
jefe_mujer			0.020***	-0.035***		0.013***	0.005***
			(0.002)	(0.002)		(0.000)	(0.001)
jefe_edad			-0.005***	-0.000***		-0.001***	0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.015***	-0.000***		0.008***	0.009***
			(0.001)	(0.000)		(0.001)	(0.001)
t_plf			0.013***	0.014***		-0.015***	-0.004***
			(0.001)	(0.001)		(0.001)	(0.000)
t_des			0.065***	-0.063***		0.012***	-0.026***
			(0.001)	(0.002)		(0.000)	(0.001)
ing_nolab_hog			-0.999***	0.935***		-0.002***	0.069***
			(0.037)	(0.037)		(0.000)	(0.001)
ayudas_hog			0.002***	-0.011***		0.017***	-0.004***
			(0.001)	(0.004)		(0.001)	(0.000)
group_1	0.069***						
	(0.000)						
group_c	0.001***						
	(0.000)						
group_2	0.164***						
	(0.001)						
tdifference	-0.095***						
	(0.001)						
t_explained	-0.162***						
	(0.001)						
t_unexplained	0.067***						
	(0.000)						
total		-0.162***			0.067***		
		(0.001)			(0.000)		
p_explained		-1.027***					
		(0.037)					
specif_err		0.864***					
		(0.037)					
rwg_error					0.076***		
					(0.001)		
p_unexplained					-0.009***		
					(0.001)		
Constant				-0.064***		-0.059***	
				(0.006)		(0.004)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
