	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.032***	0.011		0.034***	-0.009***
			(0.001)	(0.007)		(0.007)	(0.001)
p_muj			0.000***	-0.018***		-0.001	-0.000
			(0.000)	(0.007)		(0.008)	(0.000)
niños_hog			-0.008***	0.058***		-0.078***	-0.001***
			(0.000)	(0.006)		(0.008)	(0.000)
educ_hog			-0.050***	0.019***		0.062***	-0.010***
			(0.001)	(0.004)		(0.005)	(0.001)
jefe_mujer			0.007***	-0.006***		0.015***	0.001*
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_edad			0.002***	0.008***		-0.004***	-0.000
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_cp			0.026***	-0.015***		0.030***	-0.004***
			(0.001)	(0.002)		(0.002)	(0.001)
t_plf			-0.005***	-0.004**		0.004*	-0.002***
			(0.000)	(0.002)		(0.002)	(0.000)
t_des			-0.016***	-0.003**		0.000	0.001***
			(0.001)	(0.001)		(0.001)	(0.000)
ing_nolab_hog			-0.002***	0.018***		-0.002***	-0.006***
			(0.000)	(0.001)		(0.001)	(0.000)
ayudas_hog			0.001**	-0.074***		0.122***	-0.007***
			(0.001)	(0.005)		(0.008)	(0.000)
group_1	0.367***						
	(0.002)						
group_c	0.446***						
	(0.002)						
group_2	0.620***						
	(0.002)						
tdifference	-0.254***						
	(0.003)						
t_explained	-0.079***						
	(0.003)						
t_unexplained	-0.175***						
	(0.003)						
total		-0.079***			-0.175***		
		(0.003)			(0.003)		
p_explained		-0.076***					
		(0.002)					
specif_err		-0.003					
		(0.003)					
rwg_error					-0.037***		
					(0.002)		
p_unexplained					-0.138***		
					(0.003)		
Constant				0.002		-0.321***	
				(0.011)		(0.012)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
