	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.056***	-0.060***		0.080***	0.011***
			(0.001)	(0.001)		(0.002)	(0.000)
p_muj			0.002**	-0.048***		0.029***	0.012***
			(0.001)	(0.003)		(0.002)	(0.001)
niños_hog			-0.084***	0.000**		-0.009***	0.077***
			(0.002)	(0.000)		(0.001)	(0.001)
educ_hog			-0.268***	0.160***		0.078***	0.098***
			(0.001)	(0.003)		(0.002)	(0.000)
jefe_mujer			-0.000***	-0.013***		0.028***	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.013***	0.000**		-0.005***	0.014***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.059***	-0.000***		0.023***	0.048***
			(0.000)	(0.000)		(0.001)	(0.000)
t_plf			-0.017***	0.031***		-0.024***	0.003***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.055***	-0.000***		0.013***	0.024***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-5.507***	5.461***		-0.009***	0.059***
			(0.065)	(0.065)		(0.000)	(0.001)
ayudas_hog			0.015***	-0.000***		0.042***	-0.033***
			(0.002)	(0.000)		(0.002)	(0.001)
group_1	0.275***						
	(0.001)						
group_c	0.001***						
	(0.000)						
group_2	0.501***						
	(0.001)						
tdifference	-0.226***						
	(0.001)						
t_explained	-0.501***						
	(0.001)						
t_unexplained	0.274***						
	(0.001)						
total		-0.501***			0.274***		
		(0.001)			(0.001)		
p_explained		-6.042***					
		(0.065)					
specif_err		5.541***					
		(0.065)					
rwg_error					0.312***		
					(0.001)		
p_unexplained					-0.038***		
					(0.001)		
Constant				0.010***		-0.284***	
				(0.004)		(0.004)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
