	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.021***	-0.023***		0.008***	0.004***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.003***	-0.015***		0.008***	0.002***
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.030***	-0.000***		0.001**	0.019***
			(0.001)	(0.000)		(0.000)	(0.000)
educ_hog			-0.090***	0.093***		0.020***	0.024***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_mujer			-0.000***	-0.005***		0.009***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.005***	-0.000***		-0.002***	0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.024***	-0.000***		0.002***	0.015***
			(0.000)	(0.000)		(0.000)	(0.000)
t_plf			-0.006***	0.018***		-0.001***	0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.028***	-0.000***		0.006***	0.009***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-1.296***	1.295***		-0.002***	0.004***
			(0.029)	(0.029)		(0.000)	(0.000)
ayudas_hog			0.012***	0.000		0.003***	-0.010***
			(0.001)	(0.000)		(0.001)	(0.000)
group_1	0.050***						
	(0.000)						
group_c	0.000***						
	(0.000)						
group_2	0.127***						
	(0.000)						
tdifference	-0.077***						
	(0.000)						
t_explained	-0.127***						
	(0.000)						
t_unexplained	0.050***						
	(0.000)						
total		-0.127***			0.050***		
		(0.000)			(0.000)		
p_explained		-1.487***					
		(0.029)					
specif_err		1.359***					
		(0.029)					
rwg_error					0.069***		
					(0.000)		
p_unexplained					-0.019***		
					(0.000)		
Constant				-0.003**		-0.070***	
				(0.002)		(0.001)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
