"REGION"|"SUBREGION"|"PROVINCIA"|"CLAVE"|"EXPAN"|"AÑO"|"TRIMESTRE"|"CV1A01"|"CV1A02"|"CV1B01_A"|"CV1B01_B"|"CV1B01_C"|"CV1B02"|"CV1B03"|"CV1B04"|"CV1B05"|"CV1B06"|"CV1B07"|"CV1B08"|"CV1B09"|"CV1B10"|"CV1B11"|"CV1B12"|"CV1C01"|"CH01_A"|"CH01_B"|"CH01_C"|"CH01_D"|"CH02_A"|"CH02_B"|"CH03"|"CH04"|"CH05"|"CH06"|"CH07"|"CH08"|"CH09"|"CH10"|"CH11"|"CH12"|"CH13_A"|"CH13_B"|"CH14"|"CH15"|"JSEXO"|"JEDAD"|"JGRUPEDAD"|"JCOMED2"|"JCOMED3"|"JCONDOCUP"|"JCATOCUP_S"|"JCATOCUP_A"|"JNIVINS"|"JSITOCUP"|"JCATOCUP"|"JCOMED"|"CANTMIEM"|"MENOR14"|"MAYOR65"|"CANTPING"|"PERMIEOC"|"TASADEP"|"CANTADEQUI"|"MIEMAGRUP"|"CANTOCUP"|"REGTEN"|"PROPAUTO"|"PROPAUTO2"|"TIPOHOG"|"GC_1"|"GC_2"|"GC_3"|"GC_4"|"GC_5"|"GC_6"|"GC_7"|"GC_8"|"GC_9"|"GASTOT"|"FP_CONTADO"|"FP_CREDITO"|"FP_TRABAJO"|"FP_TARJETAS"|"FP_OTRAS"|"FP_INDEF"|"TN_AUTOSERV"|"TN_COMEDOR"|"TN_RESTAURANT"|"TN_ESPECIE"|"TN_INTERNET"|"TN_HIPSUP"|"TN_OTROS"|"TN_INDEF"|"INGTOTH"|"INGPCH"|"MINGTOTH"|"MINGPCH"|"M_NRING"|"GASCOMP"|"GASVENT"|"DECGAPHR"|"DECGAPHT"|"QUIGAPHR"|"QUIGAPHT"|"VINPCH_R"|"DECIMPHT"|"DECIMTHT"|"DECIPPHT"|"DECIPTHT"|"DECIMPHTEXPAN"|"DECIMTHTEXPAN"|"DECIPPHTEXPAN"|"DECIPTHTEXPAN"|"QUI23PHR"|"GASTOC2C3"|"DECGAPHREXPAN"|"DECGAPHTEXPAN"|"DECGAPHP"|"DECGAPHPEXPAN"
"5"|"5"|"50"|"3960"|855|2012|2|"2"|""|"1"|"1"|"1"|"1"|"4"|"2"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"4"|"1"|"2"|"2"|"3"|"3"|"3"|"3"|"1"|2|2|"1"|"1"|"1"|"1"|"1"|"1"|1|"1"|"1"|"1"|"2"|2|56|3|"2"|"2"|"1"|"1"|""|"08"|"2"|"1"|"1"|3|0|1|3|1,5|1|2,12|3|2|"2"|"2"|"2"|"4"|193,5|200|93,33|229|30|1239|250|0|146,2|2381,03|2041,03|340|0|0|0|0|2333,7|0|0|0|0|9|8,33|30|13104,51|4368,17|0|0|1|2381,03|0|3|3|2|2|6|1|1|9|10|1|1|9|10|1|1353,33|3|3|3|3
"5"|"5"|"50"|"12227"|1199|2012|2|"2"|""|"1"|"1"|"1"|"1"|"4"|"4"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"4"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|4|3|"1"|"1"|"1"|"1"|"1"|"2"|2|"1"|"1"|"1"|"2"|1|56|3|"1"|"1"|"1"|""|""|"06"|"3"|"2"|"2"|5|2|0|2|5|2,5|4,32|5|1|"2"|"2"|"2"|"3"|1061,7|740|105|10|0|181,5|0|0|12,9|2111,1|1911,1|200|0|0|0|0|1905,97|0|0|0|0|205,13|0|0|3650|730|3650|730|0|2111,1|0|1|1|1|1|2|3|4|2|4|3|5|2|4|1|2016,5|1|1|1|1
"3"|"3B"|"46"|"15995"|30|2012|3|"2"|""|"1"|"1"|"1"|"1"|"4"|"6"|"1"|"2"|"2"|"1"|"1"|"1"|"1"|"3"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|6|4|"1"|"1"|"2"|"4"|"1"|"4"|2|"2"|"1"|"7"|""|1|43|2|"2"|"2"|"1"|""|""|"04"|"3"|"2"|"1"|1|0|0|1|1|1|1|1|1|"2"|"1"|"1"|"1"|906,03|0|180|0|0|371|0|0|0|1457,03|1457,03|0|0|0|0|0|1419,62|0|0|0|0|37,41|0|0|1200|1200|1200|1200|0|1457,03|0|7|6|4|3|14|4|1|4|1|4|2|3|1|3|932,43|7|5|7|7
"3"|"3B"|"46"|"16002"|24|2012|3|"2"|""|"1"|"1"|"1"|"1"|"4"|"3"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"3"|"1"|"2"|"2"|"2"|"3"|"3"|"3"|"1"|3|2|"1"|"2"|"1"|"1"|"1"|"2"|1|"1"|"1"|"3"|""|1|56|3|"2"|"2"|"1"|""|""|"08"|"2"|"1"|"1"|3|1|0|2|1,5|1,5|2,17|3|2|"1"|"2"|"2"|"3"|4766,84|0|2059,17|1151,7|299,5|6924,73|743,33|100|793,21|16838,48|7554,8|9987,35|633,33|0|0|0|10347,88|0|1539,4|0|0|3315,67|489,2|1146,33|15000|5000|15000|5000|1|19088,48|-2250|10|10|5|5|20|10|10|10|10|10|10|9|10|5|14924,98|10|10|10|10
"3"|"3B"|"46"|"18482"|37|2012|3|"2"|""|"1"|"2"|"2"|"1"|"4"|"4"|"1"|"2"|"1"|"1"|"1"|"1"|"2"|"1"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|4|2|"1"|"2"|"2"|"4"|"1"|"2"|1|"1"|"2"|"5"|""|1|51|3|"2"|"2"|"1"|""|""|"04"|"2"|"1"|"1"|2|0|1|2|2|1|1,64|2|1|"2"|"2"|"2"|"4"|1342,49|0|100,5|0|0|238,65|130|0|172|1983,64|1983,64|0|0|0|0|0|1583,74|0|399,9|0|0|0|0|0|5800|2900|5800|2900|1|1983,64|0|5|4|3|2|10|8|7|8|6|8|7|8|6|2|1353,69|5|4|5|5
"3"|"3B"|"46"|"996"|38|2012|3|"2"|""|"1"|"2"|"2"|"1"|"4"|"3"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"4"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|3|3|"1"|"1"|"1"|"4"|"1"|"4"|2|"1"|"2"|"5"|""|2|45|2|"2"|"2"|"1"|""|""|"07"|"2"|"1"|"1"|4|0|0|1|4|4|3,47|4|1|"2"|"2"|"2"|"3"|1957,79|1630|233,78|0|0|1214,5|130|350|309,8|5825,87|5225,87|600|0|0|0|0|4395,23|0|0|0|0|880,64|0|550|3300|825|3300|825|1|5825,87|0|7|6|4|3|14|3|4|3|4|3|4|2|3|4|4793,87|7|5|7|7
"3"|"3B"|"46"|"2182"|42|2012|3|"2"|""|"1"|"2"|"2"|"1"|"4"|"4"|"1"|"2"|"1"|"1"|"1"|"1"|"2"|"1"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|4|2|"1"|"1"|"2"|"4"|"1"|"3"|2|"2"|"2"|"1"|"2"|2|88|4|"2"|"2"|"2"|""|""|"04"|"1"|""|"1"|2|0|1|2|2|1|1,64|2|1|"2"|"1"|"1"|"3"|1207,02|0|159,25|0|774|90,3|0|0|619,2|2849,77|2849,77|0|0|0|0|0|1767,46|0|967,5|0|0|114,81|0|0|2700|1350|2700|1350|0|2849,77|0|7|6|4|3|14|5|3|4|3|5|3|4|2|3|1791,97|7|5|7|7
"3"|"3B"|"46"|"1248"|39|2012|3|"2"|""|"1"|"2"|"2"|"1"|"4"|"4"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"2"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|4|1|"1"|"1"|"1"|"4"|"1"|"3"|2|"1"|"2"|"7"|""|1|41|2|"2"|"2"|"1"|""|""|"05"|"2"|"1"|"1"|1|0|0|1|1|1|1|1|1|"2"|"1"|"1"|"1"|1470,84|120|121,5|60|0|279,5|130|0|0|2181,84|2181,84|0|0|0|0|0|1855,04|0|326,8|0|0|0|0|0|2200|2200|2200|2200|1|2181,84|0|9|8|5|4|17|7|3|7|2|7|3|6|2|4|1360,54|9|7|8|8
"3"|"3B"|"46"|"1927"|39|2012|3|"2"|""|"1"|"2"|"2"|"1"|"4"|"2"|"1"|"3"|"1"|"1"|"1"|"1"|"2"|"3"|"1"|"3"|"2"|"3"|"3"|"3"|"3"|"1"|2|1|"1"|"1"|"1"|"4"|"1"|"4"|1|"1"|"2"|"1"|"2"|1|37|2|"2"|"2"|"1"|""|""|"06"|"2"|"1"|"1"|1|0|0|1|1|1|1|1|1|"2"|"1"|"1"|"1"|704,14|0|105,75|0|0|184|130|0|0|1123,89|1123,89|0|0|0|0|0|913,19|0|210,7|0|0|0|0|0|2000|2000|2000|2000|1|1123,89|0|6|5|3|3|11|7|2|6|2|7|3|6|2|3|844,39|6|4|5|6
"3"|"3B"|"46"|"5815"|43|2012|3|"2"|""|"1"|"2"|"2"|"1"|"4"|"2"|"1"|"1"|"2"|"1"|"1"|"3"|"3"|"2"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|2|2|"1"|"1"|"2"|"4"|"1"|"3"|2|"1"|"2"|"3"|""|2|90|4|"2"|"2"|"2"|""|""|"04"|"1"|""|"1"|4|2|1|2||2|2,99|4|0|"1"|"1"|"1"|"4"|1457,7|0|496,98|27,09|0|45,15|0|0|27,95|2054,87|819,48|1235,39|0|0|0|0|1654,87|0|0|0|0|0|0|400|2300|575|2300|575|0|2054,87|0|2|2|1|1|3|2|3|2|2|2|3|1|2|1|1895,77|2|1|2|3
