id_str,created_at,text,retweeted,favorite_count,in_reply_to_screen_name
1582418009540292620,2022-10-18 17:07:08+00:00,"We must elect more Democrats to the Senate and keep control of the House.

If we do that, here’s the promise I make to you and the American people:

The first bill I will send to Congress will be to codify Roe v. Wade. And when Congress passes it, I will sign it in January.",False,39117,
1582412615522783238,2022-10-18 16:45:42+00:00,"MAGA Republicans don’t have a clue about the power of American women, but they’re about to find out. Tune in to hear how we’ll codify Roe v. Wade into law. https://t.co/pxoUTlJmbL",False,5196,
1582387804083916801,2022-10-18 15:07:06+00:00,"In total, more than 40 million Americans can stand to benefit from student debt relief. About 90% of that relief is going to go to people making less than $75,000 a year.

Let me be clear: Not a dime will go to those in the top 5% income bracket. Period.",False,10430,
1582172358378491905,2022-10-18 00:51:00+00:00,"Republicans want a national ban on abortion—but if we elect two more Democratic senators and keep the House, we will codify Roe v. Wade. https://t.co/vyvNKzN1wG",False,14044,
1582150969437360128,2022-10-17 23:26:00+00:00,"With our votes, we have the power to move our country forward. Make a plan to vote early or on Election Day! https://t.co/Hy8C4mJiSk",False,4900,
1582118510037446656,2022-10-17 21:17:01+00:00,"We’re bringing relief to millions of borrowers who need it most. 

The application to apply for student debt relief is now open. Apply today: https://t.co/jHpKgsh7dY https://t.co/YJNYVSdBHt",False,6628,
1582053892380012549,2022-10-17 17:00:15+00:00,"Despite opposition from some of the most powerful special interests in the nation, we're lowering health care costs and strengthening Medicare. And we're fighting for folks who need our help.",False,14644,
1581790846277779456,2022-10-16 23:35:00+00:00,A vast majority of House Republicans have signed on to a Republican budget to cut Medicare and Social Security.,False,25930,
1581768199267553280,2022-10-16 22:05:01+00:00,"Thanks to the Inflation Reduction Act, no senior in America on Medicare will have to pay more than $2,000 a year for their prescriptions, no matter how much they cost.",False,21262,
1581684394720305153,2022-10-16 16:32:00+00:00,"Instead of Infrastructure Week being a punch line under my predecessor, Infrastructure Decade is a headline on my watch.",False,21839,
1581435510463266816,2022-10-16 00:03:02+00:00,"When it came time to help our seniors, every single Republican in Congress sided with Big Pharma. https://t.co/3R51RX5lMN",False,25946,
1581383663521972225,2022-10-15 20:37:00+00:00,"Yesterday, I issued an Executive Order directing the Department of Health and Human Services to put a plan on my desk within 90 days finding additional ways to lower prescription drug costs for seniors.",False,25941,
1581333332981604353,2022-10-15 17:17:00+00:00,"Next month, voters will have to decide. 

Democrats are working to bring down the cost of things talked about around the kitchen table—from prescription drugs to health care and more. 

Republicans are campaigning every day on an agenda to raise your costs.",False,15656,
1581049730565832705,2022-10-14 22:30:04+00:00,The choice is clear. https://t.co/eHHawQoTsP,False,69085,
1581024045575045121,2022-10-14 20:48:01+00:00,"Social Security benefits will go up by an average of $140 a month.

For the first time in 10 years, Social Security checks will go up while Medicare premiums go down.",False,22505,
1580996924366553088,2022-10-14 19:00:14+00:00,"The Inflation Reduction Act locks in lower health care premiums for 13 million people, lowers seniors’ prescription drug prices, and caps their out-of-pocket expenses for prescription drugs at the pharmacy at $2,000 per year.",False,9228,
