	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.038***	-0.037***		0.019***	0.008***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.009***	-0.038***		0.016***	0.003***
			(0.000)	(0.002)		(0.001)	(0.000)
niños_hog			-0.046***	-0.000***		-0.001	0.033***
			(0.001)	(0.000)		(0.001)	(0.000)
educ_hog			-0.149***	0.144***		0.029***	0.042***
			(0.001)	(0.001)		(0.001)	(0.000)
jefe_mujer			-0.000***	-0.005***		0.012***	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.008***	-0.000***		-0.002***	0.006***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.034***	-0.000***		0.006***	0.022***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.034***	-0.000***		0.007***	0.012***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-2.170***	2.161***		-0.003***	0.013***
			(0.037)	(0.037)		(0.000)	(0.001)
ayudas_hog			0.012***	-0.000***		0.012***	-0.015***
			(0.001)	(0.000)		(0.001)	(0.001)
group_1	0.095***						
	(0.000)						
group_c	0.000***						
	(0.000)						
group_2	0.217***						
	(0.000)						
tdifference	-0.122***						
	(0.000)						
t_explained	-0.217***						
	(0.000)						
t_unexplained	0.095***						
	(0.000)						
total		-0.217***			0.095***		
		(0.000)			(0.000)		
p_explained		-2.458***					
		(0.037)					
specif_err		2.241***					
		(0.037)					
rwg_error					0.123***		
					(0.000)		
p_unexplained					-0.028***		
					(0.000)		
Constant				0.016***		-0.125***	
				(0.002)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
