	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.027***	-0.073***		0.025***	0.001***
			(0.001)	(0.004)		(0.003)	(0.000)
p_muj			0.001	-0.006		0.026***	-0.003***
			(0.001)	(0.004)		(0.002)	(0.000)
niños_hog			-0.063***	-0.000**		-0.004*	0.039***
			(0.007)	(0.000)		(0.002)	(0.002)
educ_hog			-0.072***	0.187***		0.000	-0.009***
			(0.001)	(0.005)		(0.003)	(0.000)
jefe_mujer			0.020***	-0.034***		0.012***	0.005***
			(0.003)	(0.004)		(0.001)	(0.001)
jefe_edad			-0.008***	-0.000***		0.002***	0.002***
			(0.001)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.022***	-0.000**		0.000	0.019***
			(0.001)	(0.000)		(0.001)	(0.001)
t_des			0.083***	-0.096***		0.019***	-0.022***
			(0.002)	(0.003)		(0.000)	(0.001)
ing_nolab_hog			-1.170***	1.118***		-0.003***	0.058***
			(0.069)	(0.070)		(0.000)	(0.002)
ayudas_hog			0.004***	-0.016**		0.026***	-0.005***
			(0.001)	(0.007)		(0.002)	(0.000)
group_1	0.073***						
	(0.000)						
group_c	0.001***						
	(0.000)						
group_2	0.195***						
	(0.002)						
tdifference	-0.121***						
	(0.002)						
t_explained	-0.193***						
	(0.002)						
t_unexplained	0.072***						
	(0.001)						
total		-0.193***			0.072***		
		(0.002)			(0.001)		
p_explained		-1.254***					
		(0.069)					
specif_err		1.060***					
		(0.069)					
rwg_error					0.084***		
					(0.001)		
p_unexplained					-0.012***		
					(0.001)		
Constant				-0.019*		-0.115***	
				(0.010)		(0.006)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
