	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			0.001***	-0.002***		-0.002***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
p_muj			0.001***	-0.002***		-0.001***	-0.000
			(0.000)	(0.001)		(0.000)	(0.000)
niños_hog			-0.007***	-0.000***		0.000	0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
educ_hog			-0.009***	0.018***		-0.001*	0.001***
			(0.000)	(0.001)		(0.000)	(0.000)
jefe_mujer			-0.000***	-0.001***		0.001***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.002***	-0.000***		-0.001***	0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.002***	-0.000***		-0.001***	0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.013***	-0.000***		0.004***	0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.161***	0.164***		-0.001***	-0.002***
			(0.011)	(0.011)		(0.000)	(0.000)
ayudas_hog			0.004***	0.000***		-0.001**	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
group_1	0.007***						
	(0.000)						
group_c	0.000***						
	(0.000)						
group_2	0.015***						
	(0.000)						
tdifference	-0.008***						
	(0.000)						
t_explained	-0.015***						
	(0.000)						
t_unexplained	0.007***						
	(0.000)						
total		-0.015***			0.007***		
		(0.000)			(0.000)		
p_explained		-0.188***					
		(0.011)					
specif_err		0.174***					
		(0.011)					
rwg_error					0.007***		
					(0.000)		
p_unexplained					0.000*		
					(0.000)		
Constant				-0.004***		0.002***	
				(0.001)		(0.001)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
