	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.042***	-0.094***		0.126***	0.004***
			(0.001)	(0.006)		(0.005)	(0.000)
p_muj			-0.004***	-0.042***		0.054***	-0.006***
			(0.001)	(0.005)		(0.003)	(0.000)
niños_hog			-0.096***	0.000***		-0.019***	0.103***
			(0.008)	(0.000)		(0.003)	(0.003)
educ_hog			-0.127***	0.181***		-0.008*	-0.032***
			(0.002)	(0.006)		(0.004)	(0.000)
jefe_mujer			0.012***	-0.043***		0.026***	0.017***
			(0.003)	(0.005)		(0.001)	(0.002)
jefe_edad			-0.013***	-0.000***		-0.002***	0.012***
			(0.001)	(0.000)		(0.001)	(0.001)
jefe_cp			-0.039***	0.001***		0.004***	0.057***
			(0.002)	(0.000)		(0.002)	(0.001)
t_des			0.099***	-0.077***		0.025***	-0.055***
			(0.002)	(0.004)		(0.001)	(0.001)
ing_nolab_hog			-2.828***	2.583***		-0.010***	0.258***
			(0.078)	(0.079)		(0.000)	(0.003)
ayudas_hog			0.000	-0.088***		0.138***	-0.012***
			(0.001)	(0.008)		(0.003)	(0.000)
group_1	0.358***						
	(0.001)						
group_c	0.007***						
	(0.000)						
group_2	0.594***						
	(0.002)						
tdifference	-0.237***						
	(0.002)						
t_explained	-0.587***						
	(0.002)						
t_unexplained	0.351***						
	(0.001)						
total		-0.587***			0.351***		
		(0.002)			(0.001)		
p_explained		-3.038***					
		(0.077)					
specif_err		2.450***					
		(0.077)					
rwg_error					0.345***		
					(0.002)		
p_unexplained					0.006***		
					(0.002)		
Constant				0.029**		-0.328***	
				(0.013)		(0.010)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
