	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.023***	-0.021***		0.032***	0.005***
			(0.001)	(0.003)		(0.003)	(0.000)
p_muj			-0.001***	-0.038***		0.006***	-0.000*
			(0.000)	(0.003)		(0.002)	(0.000)
niños_hog			-0.022***	-0.005**		-0.012***	0.013***
			(0.002)	(0.002)		(0.002)	(0.001)
educ_hog			-0.102***	0.101***		-0.014***	0.027***
			(0.003)	(0.005)		(0.002)	(0.001)
jefe_mujer			-0.001	-0.000		0.007***	0.000***
			(0.000)	(0.001)		(0.000)	(0.000)
jefe_edad			0.002***	-0.002**		0.003***	-0.001***
			(0.000)	(0.001)		(0.000)	(0.000)
jefe_cp			-0.006***	-0.025***		0.008***	0.005***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.011***	-0.005***		0.002***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.102***	0.102***		-0.001***	0.002***
			(0.009)	(0.009)		(0.000)	(0.001)
ayudas_hog			0.005***	-0.008***		0.014***	-0.012***
			(0.001)	(0.002)		(0.003)	(0.001)
group_1	0.052***						
	(0.001)						
group_c	0.038***						
	(0.001)						
group_2	0.132***						
	(0.001)						
tdifference	-0.080***						
	(0.001)						
t_explained	-0.094***						
	(0.001)						
t_unexplained	0.014***						
	(0.001)						
total		-0.094***			0.014***		
		(0.001)			(0.001)		
p_explained		-0.261***					
		(0.009)					
specif_err		0.167***					
		(0.009)					
rwg_error					0.041***		
					(0.001)		
p_unexplained					-0.027***		
					(0.001)		
Constant				0.068***		-0.073***	
				(0.006)		(0.004)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
