	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.063***	-0.058***		0.077***	0.015***
			(0.001)	(0.001)		(0.002)	(0.000)
p_muj			0.016***	-0.078***		0.040***	0.009***
			(0.001)	(0.003)		(0.002)	(0.001)
niños_hog			-0.087***	0.000*		-0.008***	0.077***
			(0.002)	(0.000)		(0.001)	(0.001)
educ_hog			-0.281***	0.191***		0.061***	0.099***
			(0.001)	(0.003)		(0.002)	(0.000)
jefe_mujer			-0.000***	-0.009***		0.022***	-0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.013***	-0.000***		-0.003***	0.013***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.055***	-0.000***		0.020***	0.044***
			(0.000)	(0.000)		(0.001)	(0.000)
t_des			-0.051***	-0.000***		0.012***	0.023***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-5.271***	5.225***		-0.007***	0.058***
			(0.065)	(0.065)		(0.000)	(0.001)
ayudas_hog			0.010***	-0.000***		0.048***	-0.029***
			(0.002)	(0.000)		(0.002)	(0.001)
group_1	0.267***						
	(0.001)						
group_c	0.000***						
	(0.000)						
group_2	0.495***						
	(0.001)						
tdifference	-0.228***						
	(0.001)						
t_explained	-0.495***						
	(0.001)						
t_unexplained	0.267***						
	(0.001)						
total		-0.495***			0.267***		
		(0.001)			(0.001)		
p_explained		-5.796***					
		(0.065)					
specif_err		5.301***					
		(0.065)					
rwg_error					0.306***		
					(0.001)		
p_unexplained					-0.039***		
					(0.001)		
Constant				0.030***		-0.302***	
				(0.004)		(0.003)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
