	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.002***	-0.008***		-0.001	-0.000***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			-0.001**	-0.005***		0.004***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
niños_hog			-0.018***	-0.000***		0.002***	0.007***
			(0.002)	(0.000)		(0.001)	(0.001)
educ_hog			-0.015***	0.041***		0.004***	-0.002***
			(0.000)	(0.002)		(0.001)	(0.000)
jefe_mujer			0.004***	-0.006***		0.002***	0.000
			(0.001)	(0.001)		(0.000)	(0.000)
jefe_edad			-0.001***	-0.000**		-0.000	0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.002***	0.000		-0.000	0.003***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			0.033***	-0.043***		0.008***	-0.005***
			(0.001)	(0.001)		(0.000)	(0.000)
ing_nolab_hog			-0.267***	0.256***		-0.001***	0.012***
			(0.022)	(0.022)		(0.000)	(0.001)
ayudas_hog			0.002***	0.002		0.003***	-0.001***
			(0.000)	(0.002)		(0.001)	(0.000)
group_1	0.013***						
	(0.000)						
group_c	0.000***						
	(0.000)						
group_2	0.036***						
	(0.001)						
tdifference	-0.022***						
	(0.001)						
t_explained	-0.035***						
	(0.001)						
t_unexplained	0.013***						
	(0.000)						
total		-0.035***			0.013***		
		(0.001)			(0.000)		
p_explained		-0.268***					
		(0.022)					
specif_err		0.232***					
		(0.022)					
rwg_error					0.014***		
					(0.000)		
p_unexplained					-0.001***		
					(0.000)		
Constant				-0.005		-0.022***	
				(0.003)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
