	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.030***	-0.028***		0.036***	0.007***
			(0.001)	(0.003)		(0.003)	(0.000)
p_muj			-0.001***	-0.045***		0.013***	-0.000**
			(0.000)	(0.003)		(0.002)	(0.000)
niños_hog			-0.024***	-0.002		-0.017***	0.017***
			(0.002)	(0.002)		(0.002)	(0.001)
educ_hog			-0.125***	0.115***		-0.009***	0.037***
			(0.003)	(0.005)		(0.002)	(0.001)
jefe_mujer			0.000	-0.002*		0.007***	0.000***
			(0.000)	(0.001)		(0.000)	(0.000)
jefe_edad			0.002***	-0.002**		0.002***	-0.001***
			(0.000)	(0.001)		(0.000)	(0.000)
jefe_cp			-0.007***	-0.028***		0.012***	0.006***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.012***	-0.005***		0.003***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.138***	0.137***		-0.001***	0.005***
			(0.008)	(0.009)		(0.000)	(0.001)
ayudas_hog			0.006***	-0.012***		0.025***	-0.016***
			(0.001)	(0.002)		(0.003)	(0.001)
group_1	0.071***						
	(0.001)						
group_c	0.052***						
	(0.001)						
group_2	0.173***						
	(0.001)						
tdifference	-0.103***						
	(0.001)						
t_explained	-0.121***						
	(0.001)						
t_unexplained	0.019***						
	(0.001)						
total		-0.121***			0.019***		
		(0.001)			(0.001)		
p_explained		-0.328***					
		(0.008)					
specif_err		0.207***					
		(0.008)					
rwg_error					0.055***		
					(0.001)		
p_unexplained					-0.037***		
					(0.001)		
Constant				0.078***		-0.108***	
				(0.006)		(0.004)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
