	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.019***	-0.050***		0.021***	0.001***
			(0.001)	(0.002)		(0.002)	(0.000)
p_muj			0.000	-0.008***		0.020***	-0.002***
			(0.000)	(0.002)		(0.001)	(0.000)
niños_hog			-0.042***	-0.000		-0.004***	0.031***
			(0.004)	(0.000)		(0.001)	(0.001)
educ_hog			-0.052***	0.124***		0.004***	-0.008***
			(0.001)	(0.003)		(0.001)	(0.000)
jefe_mujer			0.011***	-0.022***		0.009***	0.004***
			(0.002)	(0.002)		(0.000)	(0.001)
jefe_edad			-0.005***	-0.000***		0.000	0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.013***	0.000		-0.000	0.015***
			(0.001)	(0.000)		(0.001)	(0.000)
t_des			0.060***	-0.068***		0.014***	-0.017***
			(0.001)	(0.002)		(0.000)	(0.000)
ing_nolab_hog			-0.938***	0.888***		-0.002***	0.055***
			(0.037)	(0.037)		(0.000)	(0.001)
ayudas_hog			0.002***	-0.019***		0.027***	-0.004***
			(0.001)	(0.004)		(0.001)	(0.000)
group_1	0.067***						
	(0.000)						
group_c	0.001***						
	(0.000)						
group_2	0.162***						
	(0.001)						
tdifference	-0.095***						
	(0.001)						
t_explained	-0.161***						
	(0.001)						
t_unexplained	0.066***						
	(0.000)						
total		-0.161***			0.066***		
		(0.001)			(0.000)		
p_explained		-0.997***					
		(0.037)					
specif_err		0.836***					
		(0.037)					
rwg_error					0.077***		
					(0.001)		
p_unexplained					-0.011***		
					(0.001)		
Constant				-0.007		-0.100***	
				(0.005)		(0.003)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
