"SUBREGION"|"DESCRIPCION"|"REGION"
"1A"|"CIUDAD DE BS. AS"|"1"
"2B"|"SANTA FE Y ENTRE RÍOS"|"2"
"3B"|"CATAMARCA, LA RIOJA Y STGO. DEL ESTERO"|"3"
"3A"|"JUJUY, SALTA Y TUCUMAN"|"3"
"2C"|"BUENOS AIRES"|"2"
"1B"|"PARTIDOS DE GBA"|"1"
"2A"|"CÓRDOBA Y LA PAMPA"|"2"
"4A"|"MISIONES Y CORRIENTES"|"4"
"4B"|"CHACO Y FORMOSA"|"4"
"5"|"SAN JUAN, MENDOZA Y SAN LUIS"|"5"
"6A"|"NEUQUÉN, RIO NEGRO"|"6"
"6B"|"CHUBUT, SANTA CRUZ Y TIERRA DEL FUEGO"|"6"
